ensemble,mean_AD,mean_N,log2fc,pval,qval
ENSG00000163531,51.75675675675676,67.70731707317073,-0.38110787182291045,0.002209551108889748,0.7334819006505976
ENSG00000235253,2.5,6.878048780487805,-1.170483428018237,0.002614447018688544,0.7334819006505976
ENSG00000145675,26.135135135135137,38.1219512195122,-0.5278162335150144,0.00294807837882073,0.7334819006505976
ENSG00000105339,38.608108108108105,53.853658536585364,-0.46979205409914154,0.002386853644632157,0.7334819006505976
ENSG00000169894,82.58108108108108,104.41463414634147,-0.3348268380066414,0.0020462536505238904,0.7334819006505976
ENSG00000204179,6.8108108108108105,13.414634146341463,-0.8839899986877198,0.10993057739504257,0.912618334757989
ENSG00000151150,60.12162162162162,69.02439024390245,-0.19617469558663683,0.15924663948357898,0.912618334757989
ENSG00000148634,39.67567567567568,45.75609756097561,-0.20098821103195222,0.10886312880110381,0.912618334757989
ENSG00000065534,54.472972972972975,59.90243902439025,-0.13471496027391114,0.13481304684147022,0.912618334757989
ENSG00000107829,12.216216216216216,16.146341463414632,-0.37559158513116764,0.15124239946450466,0.912618334757989
ENSG00000165669,34.5945945945946,42.073170731707314,-0.2751313584028176,0.03786424285715308,0.912618334757989
ENSG00000144810,19.64864864864865,24.195121951219512,-0.28709707184017685,0.2276492173473238,0.912618334757989
ENSG00000269028,27.175675675675677,31.804878048780488,-0.21946015012282646,0.12082952296499275,0.912618334757989
ENSG00000236138,47.28378378378378,55.26829268292683,-0.22078345110857864,0.20501931360853587,0.912618334757989
ENSG00000241537,3.2972972972972974,6.804878048780488,-0.8609465006138731,0.14153440791706295,0.912618334757989
ENSG00000134539,37.7972972972973,43.36585365853659,-0.19349357345517076,0.19881952493322919,0.912618334757989
ENSG00000273079,71.05405405405405,81.8048780487805,-0.20063615505398721,0.07392068893848666,0.912618334757989
ENSG00000171681,37.189189189189186,40.24390243902439,-0.11101655508691001,0.17350869300283644,0.912618334757989
ENSG00000139053,3.5675675675675675,3.7560975609756095,-0.05835223847829235,0.1225353030018944,0.912618334757989
ENSG00000151229,22.39189189189189,24.975609756097562,-0.15114906675742804,0.19566732488420735,0.912618334757989
ENSG00000114735,44.04054054054054,56.09756097560975,-0.34220497801263056,0.11820448355028211,0.912618334757989
ENSG00000107679,57.891891891891895,67.1951219512195,-0.21159952527039547,0.1859194274581527,0.912618334757989
ENSG00000266412,24.2972972972973,20.536585365853657,0.23219373092407244,0.16793010183628698,0.912618334757989
ENSG00000075407,22.39189189189189,25.170731707317074,-0.16194571240074945,0.12657952212534296,0.912618334757989
ENSG00000120594,30.324324324324323,38.75609756097561,-0.3438927591228344,0.1966852609012455,0.912618334757989
ENSG00000026508,28.054054054054053,32.0,-0.18372654051058057,0.20288441652055533,0.912618334757989
ENSG00000167996,15.932432432432432,17.73170731707317,-0.14569316241016173,0.17196329558501433,0.912618334757989
ENSG00000162231,17.513513513513512,23.853658536585368,-0.424879519328791,0.0895884604453252,0.912618334757989
ENSG00000186001,33.7027027027027,40.707317073170735,-0.26525248366182336,0.09776486534582396,0.912618334757989
ENSG00000145113,49.0,59.46341463414634,-0.27413436169391386,0.05769552211003408,0.912618334757989
ENSG00000041802,16.5,13.975609756097562,0.2247401761928707,0.2412767175449546,0.912618334757989
ENSG00000150672,39.91891891891892,48.34146341463415,-0.2700324755834175,0.021059083851485347,0.912618334757989
ENSG00000165323,43.2972972972973,46.5609756097561,-0.10255963054838028,0.2134584076873257,0.912618334757989
ENSG00000020922,19.93243243243243,25.21951219512195,-0.32490087669812034,0.19268394212514095,0.912618334757989
ENSG00000188906,38.148648648648646,47.1219512195122,-0.2977326324640216,0.21027436599521043,0.912618334757989
ENSG00000166266,17.7972972972973,20.5609756097561,-0.19789721586005857,0.19156807902647388,0.912618334757989
